ID,A2006_11_BizGroup,A2006_11_Education,A2006_11_MonthsOfExp,A2006_12_BizGroup,A2006_12_Education,A2006_12_MonthsOfExp,A2007_1_BizGroup,A2007_1_Education,A2007_1_MonthsOfExp,A2007_2_BizGroup,A2007_2_Education,A2007_2_MonthsOfExp,A2007_3_BizGroup,A2007_3_Education,A2007_3_MonthsOfExp,A2007_4_BizGroup,A2007_4_Education,A2007_4_MonthsOfExp,A2007_5_BizGroup,A2007_5_Education,A2007_5_MonthsOfExp,A2007_6_BizGroup,A2007_6_Education,A2007_6_MonthsOfExp,A2007_7_BizGroup,A2007_7_Education,A2007_7_MonthsOfExp,A2007_8_BizGroup,A2007_8_Education,A2007_8_MonthsOfExp,A2007_9_BizGroup,A2007_9_Education,A2007_9_MonthsOfExp,A2007_10_BizGroup,A2007_10_Education,A2007_10_MonthsOfExp,A2007_11_BizGroup,A2007_11_Education,A2007_11_MonthsOfExp,A2007_12_BizGroup,A2007_12_Education,A2007_12_MonthsOfExp,A2008_1_BizGroup,A2008_1_Education,A2008_1_MonthsOfExp,A2008_2_BizGroup,A2008_2_Education,A2008_2_MonthsOfExp,A2008_3_BizGroup,A2008_3_Education,A2008_3_MonthsOfExp,A2008_4_BizGroup,A2008_4_Education,A2008_4_MonthsOfExp,A2008_5_BizGroup,A2008_5_Education,A2008_5_MonthsOfExp,A2008_6_BizGroup,A2008_6_Education,A2008_6_MonthsOfExp,A2008_7_BizGroup,A2008_7_Education,A2008_7_MonthsOfExp,A2008_8_BizGroup,A2008_8_Education,A2008_8_MonthsOfExp,A2008_9_BizGroup,A2008_9_Education,A2008_9_MonthsOfExp,A2008_10_BizGroup,A2008_10_Education,A2008_10_MonthsOfExp,A2008_11_BizGroup,A2008_11_Education,A2008_11_MonthsOfExp,A2008_12_BizGroup,A2008_12_Education,A2008_12_MonthsOfExp,A2009_1_BizGroup,A2009_1_Education,A2009_1_MonthsOfExp,A2009_2_BizGroup,A2009_2_Education,A2009_2_MonthsOfExp,A2009_3_BizGroup,A2009_3_Education,A2009_3_MonthsOfExp,A2009_4_BizGroup,A2009_4_Education,A2009_4_MonthsOfExp,A2009_5_BizGroup,A2009_5_Education,A2009_5_MonthsOfExp,A2009_6_BizGroup,A2009_6_Education,A2009_6_MonthsOfExp,A2009_7_BizGroup,A2009_7_Education,A2009_7_MonthsOfExp,A2009_8_BizGroup,A2009_8_Education,A2009_8_MonthsOfExp,A2009_9_BizGroup,A2009_9_Education,A2009_9_MonthsOfExp,A2009_10_BizGroup,A2009_10_Education,A2009_10_MonthsOfExp,A2009_11_BizGroup,A2009_11_Education,A2009_11_MonthsOfExp,A2009_12_BizGroup,A2009_12_Education,A2009_12_MonthsOfExp,A2010_1_BizGroup,A2010_1_Education,A2010_1_MonthsOfExp,A2010_2_BizGroup,A2010_2_Education,A2010_2_MonthsOfExp,A2010_3_BizGroup,A2010_3_Education,A2010_3_MonthsOfExp,A2010_4_BizGroup,A2010_4_Education,A2010_4_MonthsOfExp,A2010_5_BizGroup,A2010_5_Education,A2010_5_MonthsOfExp,A2010_6_BizGroup,A2010_6_Education,A2010_6_MonthsOfExp,A2010_7_BizGroup,A2010_7_Education,A2010_7_MonthsOfExp,A2010_8_BizGroup,A2010_8_Education,A2010_8_MonthsOfExp,A2010_9_BizGroup,A2010_9_Education,A2010_9_MonthsOfExp,A2010_10_BizGroup,A2010_10_Education,A2010_10_MonthsOfExp,A2010_11_BizGroup,A2010_11_Education,A2010_11_MonthsOfExp,A2010_12_BizGroup,A2010_12_Education,A2010_12_MonthsOfExp,A2011_1_BizGroup,A2011_1_Education,A2011_1_MonthsOfExp,A2011_2_BizGroup,A2011_2_Education,A2011_2_MonthsOfExp,A2011_3_BizGroup,A2011_3_Education,A2011_3_MonthsOfExp,A2011_4_BizGroup,A2011_4_Education,A2011_4_MonthsOfExp,A2011_5_BizGroup,A2011_5_Education,A2011_5_MonthsOfExp,A2011_6_BizGroup,A2011_6_Education,A2011_6_MonthsOfExp,A2011_7_BizGroup,A2011_7_Education,A2011_7_MonthsOfExp,A2011_8_BizGroup,A2011_8_Education,A2011_8_MonthsOfExp,A2011_9_BizGroup,A2011_9_Education,A2011_9_MonthsOfExp,A2011_10_BizGroup,A2011_10_Education,A2011_10_MonthsOfExp,A2011_11_BizGroup,A2011_11_Education,A2011_11_MonthsOfExp,A2011_12_BizGroup,A2011_12_Education,A2011_12_MonthsOfExp,A2012_1_BizGroup,A2012_1_Education,A2012_1_MonthsOfExp,A2012_2_BizGroup,A2012_2_Education,A2012_2_MonthsOfExp,A2012_3_BizGroup,A2012_3_Education,A2012_3_MonthsOfExp,A2012_4_BizGroup,A2012_4_Education,A2012_4_MonthsOfExp,A2012_5_BizGroup,A2012_5_Education,A2012_5_MonthsOfExp,A2012_6_BizGroup,A2012_6_Education,A2012_6_MonthsOfExp,A2012_7_BizGroup,A2012_7_Education,A2012_7_MonthsOfExp,A2012_8_BizGroup,A2012_8_Education,A2012_8_MonthsOfExp,A2012_9_BizGroup,A2012_9_Education,A2012_9_MonthsOfExp,A2012_10_BizGroup,A2012_10_Education,A2012_10_MonthsOfExp,A2012_11_BizGroup,A2012_11_Education,A2012_11_MonthsOfExp,A2012_12_BizGroup,A2012_12_Education,A2012_12_MonthsOfExp,A2013_1_BizGroup,A2013_1_Education,A2013_1_MonthsOfExp,A2013_2_BizGroup,A2013_2_Education,A2013_2_MonthsOfExp,A2013_3_BizGroup,A2013_3_Education,A2013_3_MonthsOfExp,A2013_4_BizGroup,A2013_4_Education,A2013_4_MonthsOfExp,A2013_5_BizGroup,A2013_5_Education,A2013_5_MonthsOfExp,A2013_6_BizGroup,A2013_6_Education,A2013_6_MonthsOfExp,A2013_7_BizGroup,A2013_7_Education,A2013_7_MonthsOfExp,A2013_8_BizGroup,A2013_8_Education,A2013_8_MonthsOfExp,A2013_9_BizGroup,A2013_9_Education,A2013_9_MonthsOfExp,A2013_10_BizGroup,A2013_10_Education,A2013_10_MonthsOfExp,A2013_11_BizGroup,A2013_11_Education,A2013_11_MonthsOfExp,A2013_12_BizGroup,A2013_12_Education,A2013_12_MonthsOfExp,A2014_1_BizGroup,A2014_1_Education,A2014_1_MonthsOfExp,A2014_2_BizGroup,A2014_2_Education,A2014_2_MonthsOfExp,A2014_3_BizGroup,A2014_3_Education,A2014_3_MonthsOfExp,A2014_4_BizGroup,A2014_4_Education,A2014_4_MonthsOfExp,A2014_5_BizGroup,A2014_5_Education,A2014_5_MonthsOfExp,A2014_6_BizGroup,A2014_6_Education,A2014_6_MonthsOfExp,A2014_7_BizGroup,A2014_7_Education,A2014_7_MonthsOfExp,A2014_8_BizGroup,A2014_8_Education,A2014_8_MonthsOfExp,A2014_9_BizGroup,A2014_9_Education,A2014_9_MonthsOfExp,A2014_10_BizGroup,A2014_10_Education,A2014_10_MonthsOfExp,A2014_11_BizGroup,A2014_11_Education,A2014_11_MonthsOfExp,A2014_12_BizGroup,A2014_12_Education,A2014_12_MonthsOfExp,A2015_1_BizGroup,A2015_1_Education,A2015_1_MonthsOfExp,A2015_2_BizGroup,A2015_2_Education,A2015_2_MonthsOfExp,A2015_3_BizGroup,A2015_3_Education,A2015_3_MonthsOfExp,A2015_4_BizGroup,A2015_4_Education,A2015_4_MonthsOfExp,A2015_5_BizGroup,A2015_5_Education,A2015_5_MonthsOfExp,A2015_6_BizGroup,A2015_6_Education,A2015_6_MonthsOfExp
4358447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,0,0,Manufacturing,0,1,Manufacturing,0,2,Manufacturing,0,3,Manufacturing,0,4,Manufacturing,0,5,Manufacturing,0,6,Manufacturing,0,7,Manufacturing,0,8,Manufacturing,0,9,Manufacturing,0,10,Manufacturing,0,11,Manufacturing,0,12,Manufacturing,0,13,Manufacturing,0,14,Manufacturing,0,15,Manufacturing,0,16,Manufacturing,0,17,Manufacturing,0,18,Manufacturing,0,19,Manufacturing,0,20,Manufacturing,0,21,Manufacturing,0,22,Platform Engineering,0,0,Platform Engineering,0,1,Platform Engineering,0,2,Platform Engineering,0,3,Platform Engineering,0,4,Platform Engineering,0,5,Platform Engineering,0,6,Platform Engineering,0,7,Platform Engineering,0,8,Platform Engineering,0,9,Platform Engineering,0,10,Platform Engineering,0,11,Platform Engineering,0,12,Platform Engineering,0,13
7617147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,0,0,Platform Engineering,0,0
6743495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,0,0,Manufacturing,0,1,Manufacturing,0,2,HR,0,0,HR,0,1,HR,0,2,HR,0,3,HR,0,4,HR,0,5,HR,0,6,HR,0,7,HR,0,8,HR,0,9,HR,0,10,HR,0,11,HR,0,12
7513358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,0,0,Finance,0,1,Finance,0,2,Finance,0,3
339125,Finance,1,0,Finance,1,1,Finance,1,2,Finance,1,3,Finance,1,4,Finance,1,5,Finance,1,6,Finance,1,7,Finance,1,8,Finance,1,9,Finance,1,10,Finance,1,11,Finance,1,12,Finance,1,13,Finance,1,14,Finance,1,15,Finance,1,16,Finance,1,17,Finance,1,18,Finance,1,19,Finance,1,20,Finance,1,21,Finance,1,22,Finance,1,23,Finance,1,24,Finance,1,25,Finance,1,26,Finance,1,27,Finance,1,28,Finance,1,29,Finance,1,30,Finance,1,31,Finance,1,32,Finance,1,33,Finance,1,34,Finance,1,35,Finance,1,36,Finance,1,37,Finance,1,38,Finance,1,39,Finance,1,40,Finance,1,41,Finance,1,42,Finance,1,43,Finance,1,44,Finance,1,45,Finance,1,46,Finance,1,47,Finance,1,48,Finance,1,49,Finance,1,50,Finance,1,51,Finance,1,52,Finance,1,53,Finance,1,54,Finance,1,55,Finance,1,56,Finance,1,57,Finance,1,58,Finance,1,59,Finance,1,60,Finance,1,61,Finance,1,62,Finance,1,63,Finance,1,64,Finance,1,65,Finance,1,66,Finance,1,67,Finance,3,68,Finance,3,69,Finance,3,70,Finance,3,71,Finance,3,72,Finance,3,73,Finance,3,74,Finance,3,75,Finance,3,76,Finance,3,77,Finance,3,78,Finance,3,79,Finance,3,80,Finance,3,81,Finance,3,82,Finance,3,83,Finance,3,84,Finance,3,85,Finance,3,86,Finance,3,87,Finance,3,88,Finance,3,89,Finance,3,90,Finance,3,91,Finance,3,92,Finance,3,93,Finance,3,94,Finance,3,95,Finance,3,96,Finance,3,97,Finance,3,98,Finance,3,99,Finance,3,100,Finance,3,101,Finance,3,102,Finance,0,103
7766727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,0,0
3865081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,0,0,Manufacturing,0,1,Manufacturing,0,2,Manufacturing,0,3,Manufacturing,0,4,Manufacturing,0,5,Manufacturing,0,6,Manufacturing,0,7,Manufacturing,0,8,Manufacturing,0,9,Manufacturing,0,10,Manufacturing,0,11,Manufacturing,0,12,Manufacturing,0,13,Manufacturing,0,14,Manufacturing,0,15,Manufacturing,0,16,Manufacturing,0,17,Manufacturing,0,18,Manufacturing,0,19,Platform Engineering,3,0,Platform Engineering,3,1,Platform Engineering,3,2,Platform Engineering,3,3,Platform Engineering,3,4,Platform Engineering,3,5,Platform Engineering,3,6,Platform Engineering,3,7,Platform Engineering,3,8,Platform Engineering,3,9,Platform Engineering,3,10,Platform Engineering,3,11,Platform Engineering,3,12
6751770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,0,0,IT,0,1,IT,0,2,IT,0,3,IT,0,4,IT,0,5,IT,3,6
7368995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,0,0
6534456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,0,0,IT,0,1,IT,0,2,IT,0,3,IT,0,4,IT,0,5,IT,0,6,IT,0,7,IT,0,8,IT,0,9,IT,0,10,IT,0,11,IT,0,12,IT,0,13,IT,0,14,IT,0,15,IT,0,16,IT,0,17,IT,3,18
